total_nb_steps,cumulative_reward,loss
1,0.0,0
2,0.0,0
3,169.5999999999999,0
4,339.1999999999998,0
5,-46.80000000000007,0
6,-93.60000000000014,0
7,-101.80000000000007,0
8,-110.0,0
9,-110.0,0
10,-110.0,0
11,-110.0,0
12,-110.0,0
13,-110.0,0
14,-110.0,0
15,-110.0,0
16,-110.0,0
17,-110.0,0
18,-110.0,0
19,-110.0,0
20,-110.0,11686.1162109375
21,107.19999999999982,11686.1162109375
22,324.39999999999964,11686.1162109375
23,455.19999999999953,11686.1162109375
24,585.9999999999994,11686.1162109375
25,630.3999999999994,11686.1162109375
26,674.7999999999993,11686.1162109375
27,642.3999999999996,11686.1162109375
28,610.0,11686.1162109375
29,610.0,11686.1162109375
30,610.0,11686.1162109375
31,704.8,11686.1162109375
32,799.5999999999999,11686.1162109375
33,808.0,11686.1162109375
34,816.4000000000001,11686.1162109375
35,738.4000000000001,11686.1162109375
36,660.4000000000001,11686.1162109375
37,635.2,11686.1162109375
38,610.0,11686.1162109375
39,691.2,11686.1162109375
40,772.4000000000001,7624.52490234375
41,767.2000000000002,7624.52490234375
42,762.0000000000002,7624.52490234375
43,670.4000000000003,7624.52490234375
44,578.8000000000004,7624.52490234375
45,400.8000000000005,7624.52490234375
46,222.80000000000064,7624.52490234375
47,56.40000000000032,7624.52490234375
48,-110.0,7624.52490234375
49,-110.0,7624.52490234375
50,-110.0,7624.52490234375
51,-110.0,7624.52490234375
52,-110.0,7624.52490234375
53,-110.0,7624.52490234375
54,-110.0,7624.52490234375
55,-110.0,7624.52490234375
56,-110.0,7624.52490234375
57,-110.0,7624.52490234375
58,-110.0,7624.52490234375
59,-110.0,7624.52490234375
60,-110.0,9351.6845703125
61,-110.0,9351.6845703125
62,-110.0,9351.6845703125
63,-15.199999999999932,9351.6845703125
64,79.60000000000014,9351.6845703125
65,88.00000000000011,9351.6845703125
66,96.40000000000009,9351.6845703125
67,18.40000000000009,9351.6845703125
68,-59.59999999999991,9351.6845703125
69,-84.79999999999995,9351.6845703125
70,-110.0,9351.6845703125
71,-110.0,9351.6845703125
72,-110.0,9351.6845703125
